Vector,Label
"['vær', 'fordel', 'kjennskap', 'ungdom', 'rus', 'adferd', 'vansk', 'samt', 'kjennskap', 'traumeproblematikk', 'erfaring', 'institusjonsarbeid']",3
"['initiativrik', 'selvgå']",2
"['hjelp', 'barn', 'løs', 'konflikt', 'sett', 'egn', 'grens']",1
"['intern', 'marketing', 'experienc']",3
"['veiledning', 'opplæringskontor', 'ia', 'hms', 'politisk', 'sekretariat', 'fellestjenest', 'sak', 'arkiv', 'valgsekretariat']",1
"['logg', 'brukarnamn', 'passord']",0
"['kompetans', 'forhold', 'bruk', 'hest', 'terapi']",3
"['erfaring', 'frå', 'offent', 'innkjøp', 'erstatt', 'krav', 'høgar', 'utdanning']",3
"['oppfølging', 'deltaker', 'arbeidsrett', 'tiltak']",1
"['løn', 'kommunalt', 'avtaleverk', 'ell', 'tilsetjing', 'van', 'kommunal', 'vilkår']",0
"['pensjonsområd', 'behandl', 'båd', 'nasjonal', 'internasjonal', 'post', 'begg', 'områd']",1
"['strukturer', 'tyd', 'tilstedevær', 'led', 'medarbeidern']",2
"['spenn', 'meningsfylt', 'arbeidsoppgav']",0
"['sikr', 'virksom', 'utnytt', 'kapasit', 'mest', 'mul', 'optimal', 'forsvar', 'måt']",1
"['antall', 'stilling']",0
"['stilling', 'rapporter', 'økonomisjef', 'inngår', 'økonomiavdeling', 'ansatt']",1
"['skol', 'ligg', 'grønn', 'omgiv', 'mark', 'nærmest', 'nabo']",0
"['bidr', 'kompetansebygging']",1
['helgestilling'],0
"['utviklingsmu', 'bakgrunn', 'deloitt', 'blant', 'foretrukn', 'selskap', 'nyutdann']",0
"['båd', 'kund', 'medarbeider']",0
"['tverrfag', 'miljø', 'nettverk']",0
"['kort', 'vei', 'trikk', 't', 'ban']",0
"['tilbyr', 'sentral', 'posisjon', 'vikt', 'forretningsområd', 'selskap', 'sterk', 'merkevar', 'god', 'markedsposisjon', 'båd', 'nord', 'internasjonalt']",0
"['forvent', 'sjåfør', 'lagt', 'merk', 'trafikk']",0
"['hold', 'oversikt', 'sikkerhetsmess', 'risikobild', 'omgir', 'distrikt', 'politimester', 'underlagt', 'leder', 'viktigst', 'rådgiv', 'intern', 'sikkerhetsfag', 'spørsmål']",1
"['relevant', 'erfaring', 'kompenser', 'mangl', 'utdanning']",3
"['bedrift', 'forespørsl', 'tilretteleggingsmu', 'rett', 'kontaktperson', 'denn', 'annons']",0
"['godt', 'integrer', 'klasseromsundervisning', 'organisering', 'denn']",0
"['forefall', 'arbeid', 'drift', 'vedlikehold', 'blant', 'ann', 'oppgav', 'tilknytt', 'røykgass', 'renhold', 'letter', 'vedlikeholdsoppgav']",1
"['mul', 'fag', 'utvikling', 'kur', 'opplæring', 'fagfelt']",0
"['skjervengan', 'mosjø']",0
"['this', 'is', 'a', 'physically', 'demanding', 'job', 'oft', 'requiring', 'a', 'lot', 'of', 'walking', 'in', 'staircas']",1
"['tillegg', 'fell', 'ansv', 'butikk', 'fremstår', 'ren', 'tiltal', 'enhv', 'tid', 'inkluder', 'jobb', 'blant', 'ann']",1
"['is', 'based', 'in', 'kongsberg', 'lysak', 'and', 'report', 'to', 'the', 'ceo']",0
"['svært', 'god', 'pensjonsordning', 'gjennom', 'klp']",0
"['interessant', 'arbeidsoppgåv', 'positiv', 'miljø']",0
"['a', 'skattelett', 'nedskriving', 'studielån']",0
"['delt', 'bidr', 'salgsmøt']",1
"['søknad', 'send', 'mail']",0
"['årdal', 'kommun', 'praktiser', 'meiroffentlegheit']",0
"['god', 'behersk', 'engelsk', 'ell', 'norsk']",3
"['kultur', 'ungdomsarbeid', 'del', 'fritidsklubb', 'driftsteam', 'ansv', 'dag', 'drift', 'klubb']",1
"['skol', 'atlant', 'videregå', 'skol', 'studieforbered', 'skol', 'ca', 'elev', 'ansatt']",0
"['treng', 'ta', 'snømåking', 'vinterestid', 'kl']",1
"['verifikasjon', 'lci', 'end', 'overlevering', 'kund']",1
"['søk', 'hjelpemann', 'jobb', 'fiskebåt']",1
"['fast', 'stilling']",0
"['mer', 'info', 'vårt', 'selskap', 'se', 'hjemmesid']",0
"['tal', 'stilling']",0
"['sterk', 'trygg', 'led', 'skap', 'tillit', 'blant', 'ledern', 'ute', 'organisasjon']",2
"['recognized', 'teach', 'training', 'certification', 'consisting', 'of', 'least', 'ect']",3
"['kokk', 'inngår', 'arbeidsteam', 'andr', 'kokk', 'serveringspersonal', 'evn', 'vilj', 'samarbeid', 'andr', 'vikt', 'egenskap', 'denn', 'stilling']",2
"['hjelpeplei', 'omsorgsfagarbeid', 'autorisasjon']",3
"['søker', 'må', 'påregn', 'innkalt', 'intervju', 'person', 'egenskap', 'vektlagt', 'utvelg']",0
"['elektronisk', 'søknadsskjem']",0
['rådgiv'],1
"['båd', 'nye', 'omsøm', 'ønsk', 'derfor', 'tål']",0
"['heltid', 'deltid', 'deltid']",0
"['administrasjon', 'salg']",0
"['brigadelederstilling', 'utfordr', 'krev', 'lederstilling', 'tillagt', 'mye', 'ansv', 'høye', 'forventning', 'stillingsinnehavern']",2
"['søknad', 'cv', 'send', 'via', 'lenk', 'nedenfor']",0
"['furth', 'develop', 'and', 'manag', 'joubel', 's', 'identity', 'and', 'marketing', 'strategy']",1
"['senior', 'vic', 'president', 'hr']",1
"['tillegg', 'få', 'kontinuer', 'opplæring', 'anlegg']",0
"['jobb', 'forebygg', 'fokus', 'barn', 'ung', 'holdning', 'forhold', 'rus', 'mobbing']",1
"['antall', 'stilling']",0
"['fleksibel', 'forhold', 'arbeidssted', 'arbeidsoppgav']",2
"['kompetans', 'stid', 'aris', 'tr', 'wr', 'pim', 'r', 'procosy']",3
"['rendal', 'to', 'grunnskol', 'berg', 'skol']",0
"['closing', 'dat', 'internal', 'application']",0
"['flink', 'jobb', 'selvstend', 'vel', 'team']",2
"['lys', 'triv', 'lokal']",0
"['gled', 'engasjement', 'ansv']",0
"['råd', 'veiledning', 'økonomisk', 'spørsmål']",1
"['virksom', 'legg', 'forhold', 'rett', 'søker', 'reduser', 'funksjonsevn']",0
"['fagbrev', 'må', 'jobb', 'del', 'søm', 'båd', 'terminologi']",3
"['vegn', 'kund', 'moss', 'søk', 'dykt', 'engasjer', 'bilopprett']",1
"['innkjøpsfag', 'rådgjeving', 'avdeling']",1
"['tillegg', 'gjern', 'relevant', 'erfaring', 'avdeling', 'ønsk', 'jobb', 'nødvend', 'opplæring', 'gitt']",3
"['rapportering', 'lci', 'fremdrift', 'iht']",1
"['bidragsyt', 'videreutvikling', 'hr', 'prosess']",1
"['klikk', 'søk']",0
"['tar', 'selvfølg', 'interess', 'kunnskap', 'mat', 'drikk']",0
"['søk', 'spenn', 'utfordr', 'guid', 'jobb', 'gir', 'erfaring', 'kompetans', 'dra', 'nytt']",0
"['ring', 'ell', 'send']",0
"['gjennomføring', 'kampanj', 'butikk']",1
"['nav', 'dramm', 'derfor', 'styrk', 'kompetans', 'kontakt', 'lokal', 'arbeidsmarked', 'arbeidsgiver']",0
"['ell', 'samm']",0
"['engasjement', 'ver', 'pådriv']",2
"['skrift', 'søknad', 'send', 'via', 'link', 'søk', 'denn', 'sid']",0
"['sykepeng', 'refusjon', 'nav', 'oppfølging']",1
"['can', 'work', 'all', 'hour', 'night', 'and', 'day']",3
"['nærmer', 'informasjon', 'stilling', 'ta', 'gjern', 'kontakt']",0
"['søk', 'offent', 'godkjent', 'fysioterapeut', 'solid', 'fagkunnskap', 'lang', 'erfaring', 'hverdagsrehabilitering', 'hjemmebo']",3
"['resultatmål', 'nås']",0
"['ikk', 'relvant', 'søknad', 'ikk', 'besvart']",0
"['vikt', 'ansvarsområd', 'stilling', 'hovedsak', 'vær']",0
"['spørsmål', 'stilling', 'velkomm', 'ta', 'kontakt']",0
"['ring', 'gjern', 'generalsekretær']",0
"['samarbeid', 'øvr', 'tjenesteapparat', 'andr', 'instans', 'eksempel', 'namsfogd']",1
"['demonter', 'monter', 'mål', 'juster', 'bil', 'karosseri', 'karosserikomponent']",1
"['vis', 'evn', 'jobb', 'selvstend', 'målrett']",2
"['erfar', 'byggmest', 'ell', 'tømmermest', 'erfaring', 'gjennomføring', 'størr', 'prosjekt', 'veld', 'aktuelt']",1
"['arbeid', 'bestå', 'periodevis', 'føring', 'regnskap', 'lønn', 'årsoppgjør', 'øvr', 'rapport']",1
"['oppfølging', 'bruker', 'und', 'gjeldsordning', 'andr', 'stor', 'gjeldsproblematikk']",1
"['sem', 'seo']",0
"['søknad', 'send', 'via', 'bedrift', 'hjemmesid']",0
"['erfaring', 'rekruttering', 'medarbeider', 'samt', 'personalforvaltning']",3
"['nært', 'samarbeid', 'fylk', 'nrf', 'medvirk']",0
"['speil', 'utvikling', 'samfunn', 'ønsk', 'mangfold', 'blant', 'leder']",0
"['ønsk', 'jobb', 'bes', 'tenk', 'følg']",0
"['kassearbeid', 'ann', 'forefall', 'arbeid']",1
['søk'],0
"['hovedarbeidsoppgav', 'stilling']",0
"['hug', 'gje', 'referans']",3
"['hektisk', 'spenn', 'hverdag', 'mang', 'arbeidsoppgav']",0
"['person', 'egen', 'vektlegg']",0
"['årig', 'sosialfag', 'utdanning', 'barnevernpedagog', 'ell', 'sosionom']",3
"['ny', 'administrativ', 'hovedstruktur', 'hustadvik', 'kommun', 'ennå', 'ikk', 'beslutt', 'denn', 'stilling', 'tiltenkt', 'sentral', 'plass', 'administrasjonssjef', 'nærmest', 'ledergrupp', 'nye', 'kommun']",0
"['colleagu', 'recognition', 'and', 'reward', 'programm']",0
"['send', 'gjern', 'søknad', 'mail']",0
"['presentasjon', 'stilling']",0
"['båd', 'overhold', 'trafikkregl', 'vis', 'varsom', 'selvfølg']",1
"['god', 'evn', 'kommunikasjon', 'øvr', 'ansatt', 'bruker', 'avgjør']",2
"['må', 'behersk', 'norsk', 'ell', 'engelsk']",3
"['person', 'egnet', 'relevant', 'erfaring', 'vektlagt', 'tilbyr', 'lønn', 'arbeidsvilkår', 'samsv', 'gjeld', 'lov', 'forskrift', 'avtal']",0
"['narves', 'still', 'krav', 'selg', 'høye', 'forventning']",0
"['må', 'kunn', 'arbeid', 'selvstend', 'behersk', 'norsk', 'engelsk', 'tysk', 'fordel', 'samt', 'vær', 'kjent', 'flekkefjord', 'omegn']",2
"['interess', 'geriatri']",3
"['vikt', 'ressur', 'kommun']",0
['epost'],0
"['hovedoppgav', 'led', 'arbeidslag']",1
"['person', 'egnet', 'vektlegg']",0
"['lønn', 'avtal']",0
"['skap', 'god', 'vilkår', 'samarbeid', 'foresatt', 'fag', 'miljø']",2
"['hovedoppgav', 'engasjer', 'måt', 'bidr', 'butikk', 'salg']",1
"['læretid', 'hovudsak', 'skje', 'arbeid', 'vern', 'fred', 'fartøy']",0
"['a', 'temporary', 'position', 'as', 'senior', 'engine', 'is', 'vacant', 'one', 'year', 'with', 'the', 'possibility', 'of', 'prolongation']",1
"['søk', 'teknisk', 'personell', 'interess', 'mekanikk', 'havbruk', 'industri', 'teknisk', 'avdeling', 'sjø']",1
"['bekreft', 'kopi', 'attest', 'vitnemål', 'må', 'tas']",3
"['god', 'norskkunnskap', 'munt', 'skrift', 'minimum', 'tilsvar', 'nivå', 'b']",3
"['samarbeidsorienter', 'bedriftskultur', 'omfatt', 'læring']",0
"['rendal', 'barnehag', 'kommunal', 'avdeling', 'bergs', 'åkrestrømm']",0
"['jobb', 'mul', 'endr', 'samfunn', 'gjør', 'forskjell']",0
['ansett'],0
"['tillegg', 'god', 'planlegging', 'strukturer', 'ønsk', 'utfordr', 'butikk', 'medarbeider', 'velsmurt', 'salgsteam']",2
['tilbyr'],0
"['positiv', 'omgjeng']",2
"['evaluat', 'organiz', 'manag', 'and', 'contribut', 'to', 'all', 'social', 'medi', 'channel', 'in', 'an', 'effort', 'to', 'achiev', 'corporat', 'objectiv', 'whil', 'ensuring', 'a', 'consistent', 'marketing', 'messag']",1
"['lønn', 'avtal']",0
"['vant', 'mått', 'stå', 'oppnå']",2
"['utfordr', 'stilling', 'solid', 'firm']",0
"['typ', 'stilling', 'fast', 'stilling', 'vik']",0
"['tilbyr', 'god', 'beting', 'utfordr', 'arbeidsoppgav', 'dykt', 'medarbeider', 'godt', 'arbeidsmiljø']",0
"['erfaring', 'veiledningsarbeid', 'individuell', 'oppfølging']",3
"['gjør', 'oppmerksom', 'søkerlist', 'offentliggjort', 'søk', 'ber', 'anonymit', 'jf']",0
"['sunnhordland', 'kraftlag', 'as', 'skl', 'søk']",0
"['rydding', 'generell', 'ord']",1
"['vær', 'pådriv', 'søttespill', 'utvikling', 'godt', 'medarbeiderskap', 'ønsk', 'kultur', 'god', 'medarbeidertilfreds', 'politidistrikt']",1
"['the', 'candidat', 'will', 'hav', 'to', 'demonstrat', 'an', 'excellent', 'level', 'of', 'spok', 'and', 'writt', 'english', 'possess', 'good', 'interpersonal', 'and', 'communication', 'skill', 'and', 'show', 'the', 'willingness', 'to', 'work', 'as', 'part', 'of', 'an', 'international', 'team']",3
"['søkj', 'person']",0
"['all', 'etterspurt', 'kompetans', 'velkomm', 'søk', 'led', 'stilling', 'hos']",0
"['god', 'generell', 'datakunnskap']",2
"['elektronisk', 'søknadsskjem']",0
"['ferietilbud', 'barn', 'ung']",0
"['medvirk', 'lov', 'forskrift', 'kirkegårdsvedtekt', 'fulgt']",1
"['lønnsmess', 'plassering', 'seniorrådgiv', 'sko', 'ltr']",0
"['ta', 'gjern', 'kontakt']",0
"['hovedtariffavtal', 'kap']",0
"['stilling', 'hovudarbeidsområd', 'løn', 'refusjon', 'avstemming', 'kontroll', 'rapportering']",1
"['delt', 'omsorgsarbeid', 'elev', 'skap', 'trygg', 'trivsel', 'blant', 'ann', 'følg', 'elev', 'paus', 'friminutt']",1
"['videreutdanning', 'etterforskning', 'seksuallovbrudd']",3
"['pleas', 'log', 'on', 'to', 'our', 'net', 'sit', 'mor', 'information', 'and', 'the', 'application', 'form', 'http', 'avisbud']",0
"['tiltred', 'avtal']",0
"['gjern', 'undervisningserfaring']",3
"['søk', 'dykt', 'anleggsgartn']",1
"['arbeidsmiljøtjenest', 'led', 'stilling', 'rådgiv', 'hovedvekt', 'fagområd', 'ergonomi']",1
"['vider', 'erfar', 'led', 'team', 'endringsprosess', 'utøv', 'natur', 'lederskap', 'roll']",2
"['sonedelt', 'utelekeplass', 'eget', 'uteområd', 'tak']",0
"['a', 'p', 'styl']",0
"['stilling', 'f', 't', 'lagt', 'helsedistrikt', 'sør', 'avd']",0
"['lik', 'motiver', 'inspirer', 'andr']",2
"['vit', 'mer', 'stilling', 'ta', 'kontakt']",0
"['ell', 'tekstilbransj', 'gjern', 'erfaring', 'likn', 'roll']",0
"['erkjenn', 'led', 'innebær', 'mål', 'gjennom', 'andr', 'risikovurdering', 'alt', 'ann', 'overordn']",2
"['person', 'egnet', 'sammenhold', 'lag', 'behov', 'tas', 'betraktning', 'vurdering', 'søkern']",0
"['tilby', 'sinnemestring', 'individuelt', 'grupp']",1
"['triv', 'arbeidsmiljø']",0
"['selvstend', 'strukturer', 'resultatorienter']",2
"['generell', 'hr', 'prosess']",1
"['ansatt', 'vikariat', 'må', 'vis', 'politiattest']",3
"['praktisk', 'erfaring', 'god', 'planleggingsevn', 'bevisst', 'utvikl', 'godt', 'samarbeid', 'prosjekt']",2
"['tråd', 'opplæring', 'tilfredsstill', 'politiattest', 'helseattest', 'forutsetning', 'ansett']",3
"['års', 'gammel', 'gutt', 'spesiell', 'behov', 'treng', 'fler', 'assistent', 'jobb', 'tid', 'morg', 'kl']",3
"['gruppelivsforsikring', 'mul', 'gunst', 'boliglån']",0
"['tre', 'driv', 'dykt', 'medarbeider', 'engasjement', 'samm', 'kontor', 'øvr', 'kunnskapsrik', 'medarbeider', 'bidr', 'lykk', 'vårt', 'oppdrag']",0
"['ingeniør', 'sivilingeniør', 'ell', 'tilsvar', 'solid', 'erfaring', 'olj']",3
"['høgskuleutdanning', 'innan', 'hels', 'sosialfag']",3
"['mul', 'kompetanseutvikling']",0
"['må', 'vær', 'flink', 'inspirer', 'andr', 'involver', 'deleger', 'arbeidsstil']",2
"['godt', 'fleirfag', 'sosialt', 'miljø']",0
"['svært', 'god', 'munt', 'skrift', 'norskkunskap']",3
"['års', 'erfaring', 'innenfor', 'lci', 'koordinering', 'epcic', 'mmo', 'olj', 'gass']",0
"['bar', 'søk', 'nye', 'servitør', 'restaurant']",1
"['bygd', 'sent', 'utdanning', 'region', 'godt', 'utbygd', 'næringsliv']",0
"['elektronisk', 'søknadsskjem']",0
"['ber', 'referans', 'oppgis']",3
"['god', 'kommunikasjonsferd', 'samarbeidsegenskap']",2
"['god', 'kunnskap', 'interess', 'arbeidsmarked']",3
"['stilling', 'innebær', 'kontakt', 'pasient', 'pårør', 'samt', 'samarbeidspartner']",1
"['søknad', 'cv', 'send', 'via', 'lenk', 'nedenfor']",0
"['søk', 'erfaring', 'servitør', 'yrk', 'ell', 'lær']",3
"['d', 'senest', 'tre', 'måned', 'oppstart', 'stilling', 'må', 'gjennomfør', 'prosjekt', 'løp', 'tilsettingsperiod']",0
"['proaktiv', 'løsningsorienter', 'sterk', 'gjennomføringsevn']",2
"['skol', 'led', 'vikariat']",0
"['førerkort', 'bil', 'b', 'gjern', 'egen', 'bil', 'fordel', 'ikk', 'krav']",3
"['menn', 'vert', 'oppfordr', 'søkj']",0
"['må', 'behersk', 'norsk', 'godt', 'båd', 'skrift', 'munt']",3
"['vekk', 'tillit', 'væremåt', 'skap', 'engasjement', 'hos', 'andr']",2
"['styr', 'hel', 'anlegg', 'behov', 'ell', 'rulleringsplan']",1
"['to', 'stor', 'sokn']",0
"['stilling', 'norg', 'led', 'hotellkjed', 'god', 'karrieremu', 'båd', 'nasjonalt', 'internasjonalt']",0
"['franchisekunnskap', 'kremmerskap', 'handlingskraft', 'mye', 'humor', 'gled', 'entusiasm', 'konkurrans']",0
"['track', 'and', 'follows', 'cas', 'to', 'ensur', 'that', 'they', 'closed', 'in', 'an', 'efficient', 'and', 'timely', 'mann']",1
"['inngå', 'fakultet', 'ledergrupp', 'bidr', 'utvikling', 'gjennomføring', 'fakultet', 'strategi', 'virksomhetsutvikling', 'ressursstyring']",1
['undervisningsinspektør'],0
"['jobb', 'bauhaus', 'vær', 'utfordr', 'krev', 'varier', 'kjed', 'konstant', 'utvikling']",0
"['rapporter', 'egen', 'oppsatt', 'styringsgrupp', 'prosjekt']",1
"['dersom', 'ikk', 'tilgang', 'egen', 'pc', 'lån', 'kommun', 'bibliotek', 'ell', 'kommun', 'servicetorg']",0
"['evn', 'strategisk', 'kommersiell', 'tenking']",2
"['god', 'samarbeidsevn']",2
"['stilling', 'følg', 'skoleår', 'lønn', 'derfor', 'reduksjonsbrøk']",0
"['høyskol', 'universit', 'diplom', 'bachelorgradcand']",3
"['lærerutdanning', 'utdanning', 'pedagogikk']",3
"['undervisningsstilling', 'trinn']",0
"['appetit', 'success']",2
"['medansv', 'helhet', 'omsorg', 'enkelt', 'barn']",1
"['ell', 'likn', 'arbeidserfaring']",0
"['we', 'are', 'looking', 'you', 'who', 'wish', 'to', 'work', 'in', 'a', 'fixed', 'position', 'through', 'the', 'night']",0
"['må', 'minimum', 'årig', 'utdanning', 'universit', 'ell', 'høyskol', 'sær', 'relevant', 'erfaringsbakgrunn', 'kompenser', 'utdanningskrav']",3
"['god', 'norskkunnskap', 'båd', 'skrift', 'munt']",3
"['røkting', 'stell', 'rogn', 'fisk']",1
"['lønnsforhandling', 'samhandling', 'tillitsvalgt', 'vernetjenest']",1
"['førerkort', 'klass', 'b', 'grunnlegg', 'it']",3
"['leng', 'jobb']",0
"['evn', 'nytenkning', 'helhet', 'tenkning']",2
"['utfør', 'kontroll', 'parkeringsområd']",1
"['søknad', 'cv', 'relevant', 'vitnemål', 'attest', 'referans', 'send']",0
"['god', 'evn', 'følg', 'instruks', 'prosedyr', 'dokumenter', 'dess']",2
"['vidaregå', 'skul', 'led', 'stilling', 'kontormedarbeid', 'frå']",1
"['kommuniser', 'godt', 'båd', 'skrift', 'munt']",2
"['relevant', 'fagbrev', 'barn']",3
"['stilling', 'først', 'omgang', 'års', 'vikariat', 'stor', 'mul', 'fast', 'ansett']",0
"['måk', 'snø', 'ikk', 'stort', 'områd']",1
"['innsatsteam', 'gir', 'rask', 'fleksibel', 'hjelp', 'form', 'rehabilitering', 'utskriving', 'sykehus', 'ell', 'institusjonsopphold', 'ell', 'forebygg', 'innlegg']",1
"['konkurransedykt', 'beting']",0
['tlf'],0
"['all', 'team', 'kværnerdal', 'delt', 'prosjekt']",0
"['legg', 'cv', 'kontakt', 'kort', 'tid']",0
"['elev', 'bestått', 'vg', 'vg', 'aktuell', 'fagområd', 'oppfordr', 'søk']",3
"['må', 'vær', 'resultatorienter', 'gjennomføringssterk', 'planmess', 'strukturer', 'arbeidsmåt', 'evn', 'refleksjon']",2
"['ønsk', 'erfaring', 'arbeid', 'barn', 'ungdom']",3
"['tilrettelegg', 'ing', 'fall', 'utenfor', 'lek']",1
"['skol', 'derfor', 'tett', 'kontakt', 'lærested']",0
"['servic', 'motto', 'sett', 'alltid', 'kund', 'fokus']",2
"['flott', 'fellesrom', 'gymsal', 'sanserom', 'språkrom', 'vannrom']",0
"['medlemskap', 'pensjonsordning', 'pensjonstrekk', 'yrkesskad', 'forsikring', 'gruppelivsforsikring', 'tjenestereiseforsikring']",0
"['tof', 'søk', 'ny']",0
"['satsingsområd', 'god', 'tilbakemelding']",0
"['tilsetting', 'krev', 'politiattest']",3
"['vikarkompani', 'bemanningsselskap', 'ansatt', 'mang', 'års', 'fartstid', 'bemanningsbransj', 'follo', 'østfold']",0
"['praksisplass', 'privat', 'offent', 'virksom']",0
"['arbeid', 'strukturer', 'høy', 'gjennomføringsevn']",2
"['engasjer', 'person', 'samt', 'erfar', 'trygg', 'led', 'evn', 'motiver', 'inspirer', 'ansatt']",2
"['a', 'totalansv', 'butikk', 'drift', 'utvikling', 'resultat']",1
"['triv', 'hektisk', 'krev', 'miljø']",2
"['ønsk', 'søker', 'god', 'kommunikativ', 'ferd']",2
"['nav', 'larvik', 'tilby']",0
"['organisatorisk', 'stilling', 'underlagt', 'verksmest', 'anstalt', 'arbeid', 'hovedsak', 'vær', 'verksted', 'avdeling', 'høyt', 'sikkerhetsnivå']",0
"['kontraher', 'rikt', 'entreprenør', 'gjennomføring']",1
"['erfaring', 'innsikt', 'forstå', 'arbeid', 'flerkulturell', 'miljø']",3
"['god', 'opplæring', 'oppfølging', 'rekruttering', 'personalutvelg']",0
"['stabsleder', 'ivaret', 'utvikl', 'kommun', 'saml', 'avtaleverk', 'retningslinj', 'rutin', 'hr']",1
"['søk', 'må', 'erfaring', 'treindustri', 'ell', 'tilsvar', 'produksjon']",3
"['exceptionally', 'engaged', 'dedicated', 'and', 'highly', 'skilled', 'colleagu']",2
"['stat', 'arbeidsstyrk', 'størst', 'mul', 'grad', 'gjenspeil', 'mangfold', 'befolkning']",0
['del'],0
"['god', 'skrift', 'munt', 'fremstillingsevn']",2
"['søk', 'båd', 'heltid', 'deltidsansatt']",0
"['senter', 'driv', 'translasjonsforskning', 'cøliaki', 'mål', 'bring', 'grunnforskning', 'klinisk', 'praksis']",1
"['utpreg', 'skull', 'bar', 'mangl', 'holdning']",2
"['net', 'c', 'ell', 'ruby']",0
"['plantearbeid', 'trær', 'busk', 'blomst', 'osv']",1
['opplæring'],0
"['godt', 'inkluder', 'arbeidsmiljø', 'legg', 'vekt', 'fag']",0
"['avdelingssykeplei', 'mobil']",1
['kr'],0
"['strukturer', 'initiativrik']",2
"['tillegg', 'fell', 'ansv', 'butikk', 'fremstår', 'ren', 'tiltal', 'enhv', 'tid', 'inkluder', 'jobb', 'blant', 'ann']",1
"['ønsk', 'søk', 'stilling', 'vennligst', 'benytt', 'link', 'søk', 'høyr', 'denn', 'sid']",0
"['interest', 'and', 'motivation', 'to', 'work', 'in', 'a', 'high']",0
"['godt', 'samarbeid', 'ulik', 'kulturaktør', 'næringsliv', 'enkeltperson']",1
"['driftsoppgav', 'klubb', 'deleger', 'klubbansvar']",1
"['seksjon', 'seksuallovbrudd']",0
"['tilbyr', 'kreativ', 'trygg', 'solid', 'arbeidsplass', 'virksom', 'sterk', 'vekst']",0
"['elektronisk', 'søknadsskjem']",0
"['arbeidssted', 'grindheim', 'kyrkjegard']",0
"['bidr', 'godt', 'arbeidsmiljø']",0
"['gå', 'les', 'lønn', 'andr', 'ting', 'lur', 'www']",0
"['delt', 'endring']",0
"['jobb', 'sørg', 'dag', 'morgendag', 'samfunn', 'tilby', 'alt', 'innbyggern', 'forvent']",0
"['mob', 'epost']",0
"['søknad', 'må', 'send', 'via', 'vårt', 'digital', 'søknadssent', 'innan']",0
"['referenc', 'nam', 'relation', 'to', 'candidat', 'and', 'telephon', 'numb']",3
